Номер заказа;Дата заказа;Название товара;Категория товара;Количество продаж;Цена за единицу;Общая стоимость
1;15.01.2024;"Смартфон ""Технофон X""";Мобильные устройства;750;50000;37500000
2;16.01.2024;"Ноутбук ""Электро Бук Аир""";Компьютеры и ноутбуки;500;80000;40000000
3;17.01.2024;"Телевизор ""ВидеоМастер 4K""";Телевизоры;100;150000;15000000
4;18.01.2024;"Планшет ""Таблетик Pro""";Планшеты;150;30000;4500000
5;19.01.2024;"Умные часы ""СмартТайм""";Смарт-часы;1000;7000;7000000
6;20.01.2024;"Компьютер ""МегаКомп Pro""";Компьютеры и ноутбуки;1100;120000;132000000
7;21.01.2024;"Наушники ""ЗвукоПро""";Аудио и наушники;1420;13000;18460000
8;22.01.2024;"Фотоаппарат ""Фото Мастер 5000""";Фотоаппараты и камеры;1230;25000;30750000
9;23.01.2024;"Игровая консоль ""ГеймБокс X""";Игровые консоли и видеоигры;750;40000;30000000
10;24.01.2024;"Монитор ""Экран Максимус""";Мониторы и дисплеи;800;12000;9600000
11;25.01.2024;"Принтер ""Печать Мастер""";Принтеры и сканеры;1200;17000;20400000
12;26.01.2024;"Роутер ""СетьБастер""";Сетевое оборудование;2500;4000;10000000
13;27.01.2024;"Видеокамера ""ВидеоМастер 360""";Фотоаппараты и камеры;2000;55000;110000000
14;28.01.2024;"Аудиосистема ""ЗвукоБластер""";Аудио и наушники;100;18000;1800000
15;29.01.2024;"Микроволновая печь ""ТермоМастер""";Кухонная техника;1005;2500;2512500
16;30.01.2024;"USB флешка ""ДанныеСейф""";Мобильные и компьютерные аксессуары;3005;599;1799995
17;31.01.2024;"Беспроводные наушники ""Свободный Звук""";Аудио и наушники;4010;3999;16035990
18;01.02.2024;"Электронная книга ""Читатель Smart""";Электронные книги и ридеры;900;1999;1799100
19;02.02.2024;"Игровая мышь ""ГеймМаус""";Мобильные и компьютерные аксессуары;990;3000;2970000
20;03.02.2024;"Bluetooth колонка ""ЗвукоБум""";Аудио и наушники;1420;2000;2840000
21;04.02.2024;"Веб-камера ""ВидеоМастер Pro""";Фотоаппараты и камеры;1250;1500;1875000
22;05.02.2024;"SSD накопитель ""Скорость Быстро""";Компьютерные компоненты;650;2500;1625000
23;06.02.2024;"Смарт-телевизор ""ВидеоМастер Smart""";Телевизоры;500;89990;44995000
24;07.02.2024;"Графический планшет ""Художник Pro""";Планшеты;250;19999;4999750
25;08.02.2024;"Умные наушники ""СмартЗвук""";Аудио и наушники;25;8990;224750
26;09.02.2024;"Мобильный Wi-Fi роутер ""Интернетовоз""";Сетевое оборудование;1490;2600;3874000
27;10.02.2024;"Электронный переводчик ""ЯзыкоБот""";Электронные словари и переводчики;100;38000;3800000
28;11.02.2024;"Внешний жесткий диск ""ДанныеХранилище""";Мобильные и компьютерные аксессуары;3089;899;2777011
29;12.02.2024;"Клавиатура ""ТекстоМастер""";Мобильные и компьютерные аксессуары;959;1200;1150800
30;13.02.2024;"Универсальное зарядное устройство ""Питание Max""";Мобильные и компьютерные аксессуары;1150;999;1148850
